Route,Evening Rush (Rain: False),Evening Rush (Rain: True),Morning Rush (Rain: False),Morning Rush (Rain: True),Off-Peak (Rain: False),Off-Peak (Rain: True),overall_speed_mph,total_trips
Midtown East to Times Sq/Theatre District,3.86,4.0,5.15,5.03,4.79,4.81,4.496230161901992,3458
Midtown Center to Times Sq/Theatre District,3.77,3.88,5.89,6.03,4.84,5.11,4.5681037393793815,4903
Times Sq/Theatre District to Times Sq/Theatre District,3.98,3.68,6.21,7.1,4.91,5.06,4.672676693489552,3402
Midtown East to Midtown Center,4.14,5.21,5.38,4.91,4.71,5.02,4.699962595014682,3702
Midtown Center to Garment District,4.07,4.34,6.17,6.66,5.1,5.26,4.86672974681613,2640
Penn Station/Madison Sq West to Garment District,4.36,3.94,5.38,5.22,4.98,4.86,4.908304175201189,1575
UN/Turtle Bay South to Times Sq/Theatre District,4.32,4.84,5.98,4.9,5.13,5.49,5.0194771377548015,1100
Times Sq/Theatre District to Garment District,4.31,3.81,7.28,7.65,5.21,5.4,5.109555635911916,2408
Midtown Center to Midtown Center,4.39,5.06,6.06,6.2,5.27,5.48,5.110236950844307,6158
Penn Station/Madison Sq West to Midtown South,4.65,4.27,5.62,4.39,5.26,4.93,5.148860811488307,2616
Sutton Place/Turtle Bay North to Midtown Center,4.7,5.2,5.56,4.88,5.06,5.87,5.157275367324506,2746
Penn Station/Madison Sq West to Times Sq/Theatre District,4.54,4.35,6.22,5.93,5.22,5.91,5.231935240197546,6908
Midtown East to Garment District,4.54,4.64,5.84,4.89,5.29,6.01,5.23391448747753,1874
Midtown Center to Clinton East,4.29,4.88,6.27,6.48,5.61,5.96,5.238580544464494,3589
Midtown East to Midtown North,4.64,5.39,5.9,5.31,5.36,5.63,5.246255354925087,2905
