Route,Evening Rush (Rain: False),Evening Rush (Rain: True),Morning Rush (Rain: False),Morning Rush (Rain: True),Off-Peak (Rain: False),Off-Peak (Rain: True),overall_speed_mph,average_distance_miles,total_trips
Upper East Side South to Garment District,5.42,6.15,6.93,6.69,6.11,6.3,6.089695306447776,1.96,1121
Penn Station/Madison Sq West to Midtown East,5.57,5.5,6.22,5.8,6.17,6.87,6.092966033477653,1.52,3535
West Chelsea/Hudson Yards to Murray Hill,5.68,5.2,6.25,5.23,6.37,6.4,6.1152967282632655,1.64,1667
East Chelsea to Midtown Center,5.88,5.58,6.87,6.69,6.09,6.39,6.16567350696902,1.75,3162
West Chelsea/Hudson Yards to Midtown Center,6.17,5.87,6.6,5.96,6.34,6.15,6.290807351571104,1.81,2352
East Chelsea to Murray Hill,5.95,5.3,6.6,6.56,6.46,6.38,6.319637171091372,1.54,2786
West Chelsea/Hudson Yards to Midtown East,6.04,5.59,6.22,6.53,6.66,6.68,6.403285911011266,2.09,1059
Midtown Center to East Chelsea,5.4,5.55,7.59,7.22,6.63,7.08,6.426518823278587,1.75,4014
Union Sq to Times Sq/Theatre District,5.22,5.08,8.12,8.06,6.84,6.66,6.476621606819233,1.57,2862
East Chelsea to UN/Turtle Bay South,5.89,6.55,6.43,5.38,6.76,6.76,6.550309629496629,1.96,1132
East Chelsea to Midtown East,6.04,6.33,6.93,6.83,6.7,6.68,6.575276370590454,2.02,1848
Midtown East to West Chelsea/Hudson Yards,5.94,5.53,7.26,7.26,6.8,6.75,6.625572924382422,2.06,1895
Midtown Center to West Chelsea/Hudson Yards,5.82,6.2,7.65,8.03,6.89,7.47,6.650657605463825,1.92,3072
Sutton Place/Turtle Bay North to Midtown South,5.91,6.07,6.21,6.16,7.09,7.22,6.654921304027148,1.58,1026
Upper East Side South to Penn Station/Madison Sq West,5.69,6.07,8.46,7.97,6.69,7.41,6.664640642350501,2.29,1978
