Route,average_speed_mph,total_trips
Midtown East to Times Sq/Theatre District,4.496230161901992,3458
Midtown Center to Times Sq/Theatre District,4.5681037393793815,4903
Times Sq/Theatre District to Times Sq/Theatre District,4.672676693489552,3402
Midtown East to Midtown Center,4.699962595014682,3702
Midtown Center to Garment District,4.86672974681613,2640
Penn Station/Madison Sq West to Garment District,4.908304175201189,1575
Garment District to Garment District,4.992633773561461,736
UN/Turtle Bay South to Times Sq/Theatre District,5.0194771377548015,1100
Times Sq/Theatre District to Garment District,5.109555635911916,2408
Midtown Center to Midtown Center,5.110236950844307,6158
